,tconst,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,production_countries,primaryName
5272,tt1784720,Voir la mer,2011,91,"Comedy,Drama,Romance",5.6,615,FR,"Urbain Cancelier,Gilles Cohen,Jacques Mathou,Isabelle Petit-Jacques,Clément Sibony,Nicolas Giraud,Clémence Thioly,Jean-Noël Martin,Pauline Lefèvre,Jean-Claude Aubrun"
5276,tt1793931,Les Tuche,2011,95,Comedy,5.4,3916,FR,"Fadila Belkebla,Claire Nadeau,Isabelle Nanty,Jean-Paul Rouve,David Kammenos,Karina Testa,Sarah Stern,Théo Fernandez,Sami Outalbali,Pierre Lottin"
5277,tt1794850,La vérité si je mens! 3,2012,112,Comedy,5.3,1915,FR,"Aure Atika,Richard Anconina,Marc Andréoni,Amira Casar,Léa Drucker,Vincent Elbaz,José Garcia,Gilbert Melki,Bruno Solo,Elisa Tovati"
5279,tt17974446,La marginale,2023,98,"Comedy,Drama",6.0,82,FR,"Eric da Costa,Corinne Masiero,Vincent Chalambert,Oscar Casellas,Karina Marimon,Axel Cimière,Mickaël Launay,Pierre Azéma,Pierre Henri Toubas,Sarah Perles"
5281,tt1798224,"Les aventures de Philibert, capitaine puceau",2011,103,"Adventure,Comedy",5.0,478,FR,"Ludovic Berthillot,Vincent Haquin,Élodie Navarre,Jérémie Renier,Eric Savin,Eric Savin,Walter Shnorkell,Alexandre Astier,Manu Payet,Gaspard Proust,Aurélie Montea"
5284,tt1805297,Les femmes du 6e étage,2010,102,Comedy,7.1,10708,FR,"Marie-Armelle Deguy,Lola Dueñas,Sandrine Kiberlain,Fabrice Luchini,Carmen Maura,Berta Ojea,Muriel Solvay,Natalia Verbeke,Nuria Solé,Concha Galán"
5285,tt1808240,La chispa de la vida,2011,94,"Comedy,Drama",6.1,2884,"ES', 'FR', 'US","Salma Hayek,Juan Luis Galiardo,Antonio Garrido,Blanca Portillo,Manuel Tallafé,Fernando Tejero,José Mota,Eduardo Casanova,Carolina Bang,Nerea Camacho"
5288,tt1815680,Dubaï Flamingo,2012,84,"Comedy,Drama",5.0,91,FR,"Sergi López,Claire Nebout,Vanessa Paradis,Florence Thomassin,Bhoja 'BK' Kannada,Eve Bitoun,Pratheen Ramalingam,Monzer Al Kodare,Tereza Al Hajj,Jenilyn Belenzi"
5289,tt1815717,Gerontophilia,2013,82,"Comedy,Romance",6.3,2747,"CA', 'FR","Katie Boland,Walter Borden,Yardly Kavanagh,Marie-Hélène Thibault,Brian D. Wright,Shawn Campbell,Jean-Alexandre Létourneau,Nastassia Markiewicz,Pier-Gabriel Lajoie,Dana Wright"
5290,tt1815799,Les bien-aimés,2011,133,"Comedy,Drama,Musical",6.1,2580,"CZ', 'FR', 'GB","Catherine Deneuve,Milos Forman,Michel Delpech,Louis Garrel,Chiara Mastroianni,Ludivine Sagnier,Paul Schneider,Radivoje Bukvic,Dustin Segura-Suarez,Omar Ben Sellem"
